Date,Open,High,Low,Close,Adj Close,Volume
2017-02-24,121.500000,122.739998,120.900002,122.730003,108.273163,10834831
2017-02-27,122.129997,122.879997,122.103302,122.400002,107.982056,5946157
2017-02-28,122.010002,122.650002,121.940002,122.209999,107.814423,8885438
2017-03-01,122.489998,124.449997,122.419998,123.860001,109.270058,9393869
2017-03-02,123.750000,124.360001,123.019997,123.629997,109.067131,6949752
2017-03-03,123.410004,123.930000,123.230003,123.790001,109.208321,5593811
2017-03-06,123.010002,124.426804,122.599998,123.709999,109.137718,6670681
2017-03-07,122.580002,124.459999,122.389999,123.830002,109.243607,6643988
2017-03-08,123.750000,124.680000,123.500000,124.099998,109.481796,7909555
2017-03-09,124.580002,126.209999,124.169998,125.949997,111.113876,8571147
2017-03-10,126.040001,126.489998,125.540001,126.209999,111.343239,7395265
2017-03-13,125.830002,126.949997,125.790001,126.680000,111.757889,7112053
2017-03-14,126.860001,127.750000,126.769997,127.050003,112.084290,7679707
2017-03-15,127.050003,129.000000,126.599998,128.960007,113.769310,8359980
2017-03-16,128.440002,128.699997,127.769997,128.460007,113.328232,7610720
2017-03-17,128.449997,128.940002,127.949997,128.059998,112.975304,13300756
2017-03-20,128.039993,128.419998,127.970001,128.070007,112.984154,5827478
2017-03-21,128.380005,128.449997,127.139999,127.250000,112.260735,7578629
2017-03-22,127.050003,127.650002,126.209999,126.260002,111.387360,10272668
2017-03-23,126.099998,127.001999,125.660004,125.900002,111.069748,8505879
2017-03-24,125.860001,126.360001,125.129997,125.480003,110.699234,6490304
2017-03-27,125.160004,126.139999,125.150002,125.800003,110.981529,5004285
2017-03-28,125.620003,125.779999,124.779999,125.660004,110.858025,5287536
2017-03-29,125.050003,125.330002,124.360001,124.919998,110.205208,3970552
2017-03-30,124.739998,125.430000,124.279999,124.660004,109.975822,4711611
2017-03-31,124.110001,124.824997,124.029999,124.550003,109.878769,5657520
2017-04-03,124.730003,125.309998,124.282898,124.690002,110.002274,4956501
2017-04-04,124.510002,124.764999,124.220001,124.680000,109.993462,5358385
2017-04-05,124.720001,125.601601,124.410004,124.800003,110.099342,5646231
2017-04-06,124.849998,125.459999,124.500000,125.050003,110.319901,4324385
2017-04-07,125.120003,125.470001,124.830002,124.919998,110.205208,3615126
2017-04-10,124.870003,124.949997,124.230003,124.339996,109.693504,4594234
2017-04-11,124.260002,124.790001,123.949997,124.220001,109.587662,4161540
2017-04-12,124.540001,125.459999,124.360001,125.400002,110.628647,5556501
2017-04-13,125.129997,125.650002,124.959999,124.989998,110.266953,5396539
2017-04-17,125.019997,125.809998,124.930000,125.720001,110.910950,5367280
2017-04-18,123.180000,123.370003,120.949997,121.820000,107.470367,13485532
2017-04-19,122.099998,122.279999,121.110001,121.370003,107.073364,6993098
2017-04-20,121.860001,122.150002,121.349998,121.870003,107.514473,6330136
2017-04-21,121.779999,122.040001,121.540001,121.760002,107.417412,6021703
